,2004_IDH,2004_Suicídios,2004_iUsers
Afghanistan,0.396,6.68438529968262,0.097163516373096
Albania,0.685,7.69932985305786,2.42038779776014
Algeria,0.68,4.8487696647644,4.63447508776537
Angola,0.426,14.5546770095825,0.464814617985909
Argentina,0.78,8.045732,16.0366841054923
Armenia,0.679,3.74158787727356,4.8990085713054
Austria,0.848,13.6443,54.370247849783
Bahamas,0.786,3.3744158744812,22.0
Bahrain,0.806,4.41499042510986,21.4586805077435
Bangladesh,0.499,14.5383567810059,0.199036333744363
Barbados,0.761,3.10860252380371,49.8
Belgium,0.861,15.95385,53.5284818710281
Belize,0.695,9.38879585266113,5.63483569804286
Benin,0.43,6.05773973464966,1.18254096518994
Bolivia,0.622,2.0341784954071,4.43992460120042
Botswana,0.593,11.2139701843262,3.30488925316113
Brazil,0.694,4.544517,19.073672274442
Brunei,0.834,1.37000155448914,29.7156041447864
Bulgaria,0.745,9.517831,18.1486841616566
Burundi,0.286,14.6809358596802,0.349060461879596
Cambodia,0.47,4.96107149124146,0.300436644360101
Cameroon,0.456,7.21422052383423,0.976075415490902
Canada,0.886,10.10099,65.8500154498253
Cape Verde,0.582,5.63333368301392,5.31883206957883
Chad,0.306,8.28307056427002,0.360920107034467
Chile,0.79,10.68438,28.1779101232438
China,0.634,16.9132480621338,7.32521696522192
Colombia,0.658,5.359842,9.1186903029666
Comoros,0.434,4.7510838508606,1.32732717785355
"Congo, Dem. Rep.",0.355,14.713020324707,0.196208375178039
"Congo, Rep.",0.496,9.87376117706299,1.07750492958505
Costa Rica,0.723,8.127507,20.7923067055542
Cote d'Ivoire,0.406,20.3179302215576,0.849282414747704
Croatia,0.777,14.6266,30.9832676323496
Cuba,0.719,11.55148,8.40798475900703
Cyprus,0.826,0.6143094,33.83
Denmark,0.897,10.06166,80.8664632197883
Djibouti,0.396,4.99347591400146,0.781317175068661
Dominica,0.703,5.83525085449219,30.3196130921568
Ecuador,0.688,8.50468444824219,4.83444263759525
Egypt,0.629,1.79990363121033,5.1506662320737
El Salvador,0.644,8.42265892028809,3.2
Equatorial Guinea,0.563,10.1293497085571,0.843930284607049
Estonia,0.812,20.65888,53.1668409311564
